my_rowid,current_status,timestamp_created,threshold,interpreter_class,interpreter_class2,interpreter_certainty,interpreter_certainty2,interpreter_class_id,interpreter_class2_id,certainty_threshold
1,deleted,2022-01-21 18:36:14.641374,2000,ambience,footsteps,94,5,0,1,50
2,evaluated,2022-01-21 18:36:16.283137,2000,ambience,footsteps,99,0,0,1,50
3,deleted,2022-01-21 18:36:34.802451,2000,ambience,footsteps,98,1,0,1,50
4,deleted,2022-01-21 18:36:38.350026,2000,ambience,footsteps,99,0,0,1,50
5,deleted,2022-01-21 18:36:41.948719,2000,ambience,footsteps,99,0,0,1,50
6,deleted,2022-01-21 18:36:45.522280,2000,ambience,footsteps,99,0,0,1,50
7,evaluated,2022-01-21 18:36:49.119356,2000,ambience,footsteps,99,0,0,1,50
8,evaluated,2022-01-21 18:36:52.642979,2000,ambience,footsteps,99,0,0,1,50
9,evaluated,2022-01-21 18:36:56.167020,2000,ambience,footsteps,99,0,0,1,50
10,evaluated,2022-01-21 18:36:59.691165,2000,ambience,footsteps,99,0,0,1,50
11,evaluated,2022-01-21 18:37:03.237967,2000,ambience,footsteps,99,0,0,1,50
12,evaluated,2022-01-21 18:37:06.811126,2000,ambience,footsteps,99,0,0,1,50
13,deleted,2022-01-21 18:37:10.332322,2000,ambience,footsteps,99,0,0,1,50
14,evaluated,2022-01-21 18:37:13.858557,2000,ambience,footsteps,99,0,0,1,50
15,evaluated,2022-01-21 18:37:17.432561,2000,ambience,footsteps,99,0,0,1,50
16,evaluated,2022-01-21 18:37:21.131524,2000,ambience,footsteps,99,0,0,1,50
17,evaluated,2022-01-21 18:37:24.729127,2000,ambience,footsteps,99,0,0,1,50
18,evaluated,2022-01-21 18:37:28.253529,2000,ambience,footsteps,99,0,0,1,50
19,evaluated,2022-01-21 18:37:31.824366,2000,ambience,footsteps,99,0,0,1,50
20,evaluated,2022-01-21 18:37:35.348709,2000,ambience,footsteps,99,0,0,1,50
21,evaluated,2022-01-21 18:37:38.897335,2000,ambience,footsteps,99,0,0,1,50
22,evaluated,2022-01-21 18:37:42.421787,2000,ambience,footsteps,99,0,0,1,50
23,evaluated,2022-01-21 18:37:45.944761,2000,ambience,footsteps,99,0,0,1,50
24,evaluated,2022-01-21 18:37:50.042593,2000,ambience,footsteps,99,0,0,1,50
25,evaluated,2022-01-21 18:37:53.591144,2000,ambience,footsteps,90,5,0,1,50
26,evaluated,2022-01-21 18:37:57.111033,2000,ambience,footsteps,98,1,0,1,50
27,evaluated,2022-01-21 18:38:00.787111,2000,ambience,footsteps,94,5,0,1,50
28,evaluated,2022-01-21 18:38:04.585091,2000,ambience,footsteps,92,7,0,1,50
29,evaluated,2022-01-21 18:38:06.807336,2000,footsteps,ambience,63,32,1,0,50
30,evaluated,2022-01-21 18:38:57.041876,2000,ambience,music,98,1,0,3,50
31,deleted,2022-01-21 18:42:35.661005,2000,ambience,music,88,9,0,3,50
32,evaluated,2022-01-21 18:48:23.481229,2000,ambience,footsteps,99,0,0,1,50
33,evaluated,2022-01-21 18:48:27.053497,2000,ambience,footsteps,95,4,0,1,50
34,evaluated,2022-01-21 18:50:44.088841,2000,ambience,music,88,10,0,3,50
35,evaluated,2022-01-21 18:50:48.588946,2000,ambience,footsteps,99,0,0,1,50
36,evaluated,2022-02-07 10:52:01.096681,2000,ambience,music,62,36,0,3,50
37,evaluated,2022-02-07 10:52:06.146340,2000,ambience,footsteps,99,0,0,1,50
38,evaluated,2022-02-07 10:52:23.539299,2000,footsteps,ambience,60,39,1,0,50
39,evaluated,2022-02-12 10:44:11.767680,2000,footsteps,ambience,73,26,1,0,50
40,evaluated,2022-02-12 10:44:14.291475,2000,ambience,footsteps,83,16,0,1,50
41,evaluated,2022-02-12 10:44:15.539169,2000,ambience,music,78,16,0,3,50
42,evaluated,2022-02-12 10:44:17.189065,2000,footsteps,ambience,58,41,1,0,50
43,evaluated,2022-02-12 10:44:19.587633,2000,music,ambience,55,41,3,0,50
44,evaluated,2022-02-12 10:44:29.505191,2000,ambience,footsteps,94,4,0,1,50
45,evaluated,2022-02-12 10:44:39.652430,2000,ambience,footsteps,67,17,0,1,50
46,evaluated,2022-02-12 10:44:42.502813,2000,horn,shout,59,32,2,4,50
47,deleted,2022-02-12 10:44:46.653030,2000,horn,music,45,25,2,3,50
48,evaluated,2022-02-12 10:44:52.402282,2000,ambience,horn,50,39,0,2,50
49,deleted,2022-02-12 10:45:00.344404,2000,ambience,music,45,30,0,3,50
50,evaluated,2022-02-12 10:45:33.379990,2000,music,shout,99,0,3,4,50
51,evaluated,2022-02-12 10:45:35.977215,2000,music,shout,99,0,3,4,50
52,evaluated,2022-02-12 10:46:07.615489,2000,music,horn,92,6,3,2,50
53,evaluated,2022-02-12 10:46:11.188500,2000,music,horn,89,10,3,2,50
54,evaluated,2022-02-12 10:46:14.585094,2000,music,shout,99,0,3,4,50
55,evaluated,2022-02-12 10:46:17.384824,2000,music,horn,94,4,3,2,50
56,evaluated,2022-02-12 10:46:19.107929,2000,music,horn,98,0,3,2,50
57,evaluated,2022-02-12 10:46:20.757069,2000,music,horn,96,1,3,2,50
58,evaluated,2022-02-12 10:46:27.006949,2000,music,shout,54,21,3,4,50
59,evaluated,2022-02-12 10:46:30.779251,2000,music,horn,51,48,3,2,50
60,evaluated,2022-02-12 10:46:32.877929,2000,music,shout,98,1,3,4,50
61,evaluated,2022-02-12 10:46:35.226908,2000,music,shout,99,0,3,4,50
62,evaluated,2022-02-12 10:46:52.393622,2000,music,shout,99,0,3,4,50
63,evaluated,2022-02-12 10:46:55.318038,2000,music,ambience,91,7,3,0,50
64,evaluated,2022-02-12 10:46:57.517141,2000,music,shout,99,0,3,4,50
65,evaluated,2022-02-12 10:46:59.439747,2000,music,shout,99,0,3,4,50
66,evaluated,2022-02-12 10:47:05.764368,2000,music,shout,83,14,3,4,50
67,evaluated,2022-02-12 10:47:08.633637,2000,music,shout,74,18,3,4,50
68,evaluated,2022-02-12 10:47:09.685082,2000,ambience,footsteps,66,22,0,1,50
69,deleted,2022-02-12 10:47:33.501935,2000,music,horn,48,45,3,2,50
